timestamp,phase,model,roc_auc_mean,roc_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
2026-05-04T15:49:22.904510,cross_validation,logistic_regression,0.854345,0.00412,0.60631,0.005261,0.780368,0.002806,0.506822,0.004172,0.754412,0.007778
2026-05-04T15:49:25.023540,cross_validation,decision_tree,0.847857,0.00389,0.603553,0.004272,0.782865,0.004468,0.511027,0.007066,0.737158,0.00623
2026-05-04T15:49:47.767771,cross_validation,random_forest,0.876434,0.003347,0.641905,0.003595,0.816886,0.00229,0.571539,0.0044,0.73206,0.00452
2026-05-04T15:49:51.782149,cross_validation,xgboost,0.884906,0.002838,0.650363,0.002573,0.813211,0.001495,0.560317,0.002591,0.77492,0.005035
2026-05-04T22:55:20.177932,cross_validation,logistic_regression,0.854345,0.00412,0.60631,0.005261,0.780368,0.002806,0.506822,0.004172,0.754412,0.007778
2026-05-04T22:55:22.339451,cross_validation,decision_tree,0.847857,0.00389,0.603553,0.004272,0.782865,0.004468,0.511027,0.007066,0.737158,0.00623
2026-05-04T22:55:48.919285,cross_validation,random_forest,0.876434,0.003347,0.641905,0.003595,0.816886,0.00229,0.571539,0.0044,0.73206,0.00452
2026-05-04T22:55:53.060495,cross_validation,xgboost,0.884906,0.002838,0.650363,0.002573,0.813211,0.001495,0.560317,0.002591,0.77492,0.005035
